No,X1_transaction_date,X2_house_age,X3_distance_to_MRT
1,2012.917,32,84.87882
2,2012.917,19.5,306.5947
3,2013.583,13.3,561.9845
4,2013.5,13.3,561.9845
5,2012.833,5,390.5684
6,2012.667,7.1,2175.03
7,2012.667,34.5,623.4731
8,2013.417,20.3,287.6025
9,2013.5,31.7,5512.038
10,2013.417,17.9,1783.18
11,2013.083,34.8,405.2134
12,2013.333,6.3,90.45606
13,2012.917,13,492.2313
14,2012.667,20.4,2469.645
15,2013.5,13.2,1164.838
16,2013.583,35.7,579.2083
17,2013.25,0,292.9978
18,2012.75,17.7,350.8515
19,2013.417,16.9,368.1363
20,2012.667,1.5,23.38284
21,2013.417,4.5,2275.877
22,2013.417,10.5,279.1726
23,2012.917,14.7,1360.139
24,2013.083,10.1,279.1726
25,2013,39.6,480.6977
26,2013.083,29.3,1487.868
27,2012.667,3.1,383.8624
28,2013.25,10.4,276.449
29,2013.5,19.2,557.478
30,2013.083,7.1,451.2438
31,2013.5,25.9,4519.69
32,2012.75,29.6,769.4034
33,2012.75,37.9,488.5727
34,2013.25,16.5,323.655
35,2012.75,15.4,205.367
36,2013.5,13.9,4079.418
37,2012.917,14.7,1935.009
38,2013.167,12,1360.139
39,2012.667,3.1,577.9615
40,2013.167,16.2,289.3248
41,2013,13.6,4082.015
42,2013.5,16.8,4066.587
43,2013.417,36.1,519.4617
44,2012.75,34.4,512.7871
45,2013.583,2.7,533.4762
46,2013.083,36.6,488.8193
47,2013.417,21.7,463.9623
48,2013.583,35.9,640.7391
49,2013.417,24.2,4605.749
50,2012.667,29.4,4510.359
51,2013.417,21.7,512.5487
52,2013.083,31.3,1758.406
53,2013.583,32.1,1438.579
54,2013.083,13.3,492.2313
55,2013.083,16.1,289.3248
56,2012.833,31.7,1160.632
57,2013.417,33.6,371.2495
58,2012.917,3.5,56.47425
59,2013.5,30.3,4510.359
60,2013.083,13.3,336.0532
61,2013.417,11,1931.207
62,2013.5,5.3,259.6607
63,2012.917,17.2,2175.877
64,2013.583,2.6,533.4762
65,2013.333,17.5,995.7554
66,2013.417,40.1,123.7429
67,2013,1,193.5845
68,2013.5,8.5,104.8101
69,2013.417,30.4,464.223
70,2012.833,12.5,561.9845
71,2013.583,6.6,90.45606
72,2013.083,35.5,640.7391
73,2013.583,32.5,424.5442
74,2013.167,13.8,4082.015
75,2012.917,6.8,379.5575
76,2013.5,12.3,1360.139
77,2013.583,35.9,616.4004
78,2012.833,20.5,2185.128
79,2012.917,38.2,552.4371
80,2013,18,1414.837
81,2013.5,11.8,533.4762
82,2013,30.8,377.7956
83,2013.083,13.2,150.9347
84,2012.917,25.3,2707.392
85,2013.083,15.1,383.2805
86,2012.75,0,338.9679
87,2012.833,1.8,1455.798
88,2013.583,16.9,4066.587
89,2012.917,8.9,1406.43
90,2013.5,23,3947.945
91,2012.833,0,274.0144
92,2013.25,9.1,1402.016
93,2012.917,20.6,2469.645
94,2012.917,31.9,1146.329
95,2012.917,40.9,167.5989
96,2012.917,8,104.8101
97,2013.417,6.4,90.45606
98,2013.083,28.4,617.4424
99,2013.417,16.4,289.3248
100,2013.417,6.4,90.45606
101,2013.5,17.5,964.7496
102,2012.833,12.7,170.1289
103,2013.083,1.1,193.5845
104,2012.75,0,208.3905
105,2012.667,32.7,392.4459
106,2012.833,0,292.9978
107,2013.083,17.2,189.5181
108,2013.333,12.2,1360.139
109,2013.417,31.4,592.5006
110,2013.583,4,2147.376
111,2013.083,8.1,104.8101
112,2013.583,33.3,196.6172
113,2013.417,9.9,2102.427
114,2013.333,14.8,393.2606
115,2012.667,30.6,143.8383
116,2013.083,20.6,737.9161
117,2013,30.9,6396.283
118,2013,13.6,4197.349
119,2013.5,25.3,1583.722
120,2013.5,16.6,289.3248
121,2013.167,13.3,492.2313
122,2013.5,13.6,492.2313
123,2013.25,31.5,414.9476
124,2013.417,0,185.4296
125,2012.917,9.9,279.1726
126,2013.167,1.1,193.5845
127,2013.083,38.6,804.6897
128,2013.25,3.8,383.8624
129,2013.083,41.3,124.9912
130,2013.417,38.5,216.8329
131,2013.25,29.6,535.527
132,2013.5,4,2147.376
133,2013.167,26.6,482.7581
134,2012.833,18,373.3937
135,2012.667,33.4,186.9686
136,2012.917,18.9,1009.235
137,2012.75,11.4,390.5684
138,2013.5,13.6,319.0708
139,2013.167,10,942.4664
140,2012.667,12.9,492.2313
141,2013.25,16.2,289.3248
142,2013.333,5.1,1559.827
143,2013.417,19.8,640.6071
144,2013.5,13.6,492.2313
145,2013.083,11.9,1360.139
146,2012.917,2.1,451.2438
147,2012.75,0,185.4296
148,2012.75,3.2,489.8821
149,2013.5,16.4,3780.59
150,2012.667,34.9,179.4538
151,2013.25,35.8,170.7311
152,2013.5,4.9,387.7721
153,2013.333,12,1360.139
154,2013.25,6.5,376.1709
155,2013.5,16.9,4066.587
156,2013.167,13.8,4082.015
157,2013.583,30.7,1264.73
158,2013.25,16.1,815.9314
159,2013,11.6,390.5684
160,2012.667,15.5,815.9314
161,2012.917,3.5,49.66105
162,2013.417,19.2,616.4004
163,2012.75,16,4066.587
164,2013.5,8.5,104.8101
165,2012.833,0,185.4296
166,2012.917,13.7,1236.564
167,2013.417,0,292.9978
168,2013.417,28.2,330.0854
169,2013.083,27.6,515.1122
170,2013.417,8.4,1962.628
171,2013.333,24,4527.687
172,2013.083,3.6,383.8624
173,2013.583,6.6,90.45606
174,2013.083,41.3,401.8807
175,2013.417,4.3,432.0385
176,2013.083,30.2,472.1745
177,2012.833,13.9,4573.779
178,2013.083,33,181.0766
179,2013.5,13.1,1144.436
180,2013.083,14,438.8513
181,2012.667,26.9,4449.27
182,2013.167,11.6,201.8939
183,2013.5,13.5,2147.376
184,2013.5,17,4082.015
185,2012.75,14.1,2615.465
186,2012.75,31.4,1447.286
187,2013.167,20.9,2185.128
188,2013,8.9,3078.176
189,2012.917,34.8,190.0392
190,2012.917,16.3,4066.587
191,2013.5,35.3,616.5735
192,2013.167,13.2,750.0704
193,2013.167,43.8,57.58945
194,2013.417,9.7,421.479
195,2013.5,15.2,3771.895
196,2013.333,15.2,461.1016
197,2013,22.8,707.9067
198,2013.25,34.4,126.7286
199,2013.083,34,157.6052
200,2013.417,18.2,451.6419
201,2013.417,17.4,995.7554
202,2013.417,13.1,561.9845
203,2012.917,38.3,642.6985
204,2012.667,15.6,289.3248
205,2013,18,1414.837
206,2013.083,12.8,1449.722
207,2013.25,22.2,379.5575
208,2013.083,38.5,665.0636
209,2012.75,11.5,1360.139
210,2012.833,34.8,175.6294
211,2013.5,5.2,390.5684
212,2013.083,0,274.0144
213,2013.333,17.6,1805.665
214,2013.083,6.2,90.45606
215,2013.583,18.1,1783.18
216,2013.333,19.2,383.7129
217,2013.25,37.8,590.9292
218,2012.917,28,372.6242
219,2013.417,13.6,492.2313
220,2012.75,29.3,529.7771
221,2013.333,37.2,186.5101
222,2013.333,9,1402.016
223,2013.583,30.6,431.1114
224,2013.25,9.1,1402.016
225,2013.333,34.5,324.9419
226,2013.25,1.1,193.5845
227,2013,16.5,4082.015
228,2012.917,32.4,265.0609
229,2013.417,11.9,3171.329
230,2013.583,31,1156.412
231,2013.5,4,2147.376
232,2012.833,16.2,4074.736
233,2012.917,27.1,4412.765
234,2013.333,39.7,333.3679
235,2013.25,8,2216.612
236,2012.75,12.9,250.631
237,2013.167,3.6,373.8389
238,2013.167,13,732.8528
239,2013.083,12.8,732.8528
240,2013.5,18.1,837.7233
241,2013.083,11,1712.632
242,2013.5,13.7,250.631
243,2012.833,2,2077.39
244,2013.417,32.8,204.1705
245,2013.083,4.8,1559.827
246,2013.417,7.5,639.6198
247,2013.417,16.4,389.8219
248,2013.333,21.7,1055.067
249,2013,19,1009.235
250,2012.833,18,6306.153
251,2013.167,39.2,424.7132
252,2012.917,31.7,1159.454
253,2012.833,5.9,90.45606
254,2012.667,30.4,1735.595
255,2012.667,1.1,329.9747
256,2013.417,31.5,5512.038
257,2012.667,14.6,339.2289
258,2013.25,17.3,444.1334
259,2013.417,0,292.9978
260,2013.083,17.7,837.7233
261,2013.25,17,1485.097
262,2013.167,16.2,2288.011
263,2012.917,15.9,289.3248
264,2013.417,3.9,2147.376
265,2013.167,32.6,493.657
266,2012.833,15.7,815.9314
267,2013.25,17.8,1783.18
268,2012.833,34.7,482.7581
269,2013.417,17.2,390.5684
270,2013,17.6,837.7233
271,2013.333,10.8,252.5822
272,2012.917,17.7,451.6419
273,2012.75,13,492.2313
274,2013.417,13.2,170.1289
275,2013.167,27.5,394.0173
276,2012.667,1.5,23.38284
277,2013,19.1,461.1016
278,2013.417,21.2,2185.128
279,2012.75,0,208.3905
280,2013.417,2.6,1554.25
281,2013.25,2.3,184.3302
282,2013.333,4.7,387.7721
283,2012.917,2,1455.798
284,2013.417,33.5,1978.671
285,2012.917,15,383.2805
286,2013.167,30.1,718.2937
287,2012.917,5.9,90.45606
288,2013,19.2,461.1016
289,2013.583,16.6,323.6912
290,2013.333,13.9,289.3248
291,2013.083,37.7,490.3446
292,2012.833,3.4,56.47425
293,2013.083,17.5,395.6747
294,2012.667,12.6,383.2805
295,2013.5,26.4,335.5273
296,2013.167,18.2,2179.59
297,2012.75,12.5,1144.436
298,2012.833,34.9,567.0349
299,2013.333,16.7,4082.015
300,2013.167,33.2,121.7262
301,2013.083,2.5,156.2442
302,2012.75,38,461.7848
303,2013.5,16.5,2288.011
304,2013.5,38.3,439.7105
305,2013.417,20,1626.083
306,2013.083,16.2,289.3248
307,2013.5,14.4,169.9803
308,2012.833,10.3,3079.89
309,2013.417,16.4,289.3248
310,2013.25,30.3,1264.73
311,2013.583,16.4,1643.499
312,2013.167,21.3,537.7971
313,2013.583,35.4,318.5292
314,2013.333,8.3,104.8101
315,2013.25,3.7,577.9615
316,2013.083,15.6,1756.411
317,2013.25,13.3,250.631
318,2012.75,15.6,752.7669
319,2013.333,7.1,379.5575
320,2013.25,34.6,272.6783
321,2012.75,13.5,4197.349
322,2012.917,16.9,964.7496
323,2013,12.9,187.4823
324,2013.417,28.6,197.1338
325,2012.667,12.4,1712.632
326,2013.083,36.6,488.8193
327,2013.5,4.1,56.47425
328,2013.417,3.5,757.3377
329,2012.833,15.9,1497.713
330,2013,13.6,4197.349
331,2013.083,32,1156.777
332,2013.333,25.6,4519.69
333,2013.167,39.8,617.7134
334,2012.75,7.8,104.8101
335,2012.917,30,1013.341
336,2013.583,27.3,337.6016
337,2012.833,5.1,1867.233
338,2012.833,31.3,600.8604
339,2012.917,31.5,258.186
340,2013.333,1.7,329.9747
341,2013.333,33.6,270.8895
342,2013,13,750.0704
343,2012.667,5.7,90.45606
344,2013,33.5,563.2854
345,2013.5,34.6,3085.17
346,2012.667,0,185.4296
347,2013.417,13.2,1712.632
348,2013.583,17.4,6488.021
349,2012.833,4.6,259.6607
350,2012.75,7.8,104.8101
351,2013,13.2,492.2313
352,2012.833,4,2180.245
353,2012.833,18.4,2674.961
354,2013.5,4.1,2147.376
355,2013.417,12.2,1360.139
356,2013.25,3.8,383.8624
357,2012.833,10.3,211.4473
358,2013.417,0,338.9679
359,2013.167,1.1,193.5845
360,2013.5,5.6,2408.993
361,2012.667,32.9,87.30222
362,2013.083,41.4,281.205
363,2013.417,17.1,967.4
364,2013.5,32.3,109.9455
365,2013.417,35.3,614.1394
366,2012.917,17.3,2261.432
367,2012.75,14.2,1801.544
368,2012.833,15,1828.319
369,2013.417,18.2,350.8515
370,2012.667,20.2,2185.128
371,2012.75,15.9,289.3248
372,2013.5,4.1,312.8963
373,2013,33.9,157.6052
374,2013.083,0,274.0144
375,2013.25,5.4,390.5684
376,2013.25,21.7,1157.988
377,2013.417,14.7,1717.193
378,2013.333,3.9,49.66105
379,2013.333,37.3,587.8877
380,2013.333,0,292.9978
381,2013.333,14.1,289.3248
382,2013.417,8,132.5469
383,2013,16.3,3529.564
384,2012.667,29.1,506.1144
385,2012.75,16.1,4066.587
386,2013,18.3,82.88643
387,2012.833,0,185.4296
388,2013.25,16.2,2103.555
389,2013.5,10.4,2251.938
390,2013.25,40.9,122.3619
391,2013.5,32.8,377.8302
392,2013.583,6.2,1939.749
393,2013.083,42.7,443.802
394,2013,16.9,967.4
395,2013.5,32.6,4136.271
396,2012.917,21.2,512.5487
397,2012.667,37.1,918.6357
398,2013.417,13.1,1164.838
399,2013.417,14.7,1717.193
400,2012.917,12.7,170.1289
401,2013.25,26.8,482.7581
402,2013.083,7.6,2175.03
403,2012.833,12.7,187.4823
404,2012.667,30.9,161.942
405,2013.333,16.4,289.3248
406,2012.667,23,130.9945
407,2013.167,1.9,372.1386
408,2013,5.2,2408.993
409,2013.417,18.5,2175.744
410,2013,13.7,4082.015
411,2012.667,5.6,90.45606
412,2013.25,18.8,390.9696
413,2013,8.1,104.8101
414,2013.5,6.5,90.45606